"","from_id","from_name","message","created_time","type","link","id","story","likes_count","comments_count","shares_count"
"176","1382921215114440","oBike Taiwan","#oBike小教室 #要注意喔
信用積分可是會影響收費唷！
所以不可以違規，要做個有禮貌有公德心的騎士喔！
　
當用戶積分>=80
正常計費單價為原價格，NT$2/15分鐘。
　
當用戶積分79 ~ 60
正常計費單價為NT$10/15分鐘。
　
當用戶積分<60
正常計費單價為NT$20/15分鐘。
　
#oBikeTW #共享單車
#騎單車靠邊編","2017-06-22T02:36:22+0000","photo","https://www.facebook.com/oBikeTW/photos/a.1425276647545563.1073741828.1382921215114440/1528132530593307/?type=3","1382921215114440_1528132530593307",NA,73,26,9
"177","1382921215114440","oBike Taiwan","下班！！！
oBike騎行伴著日落，整個就是好心情～
　
大家回家路上要小心唷！
　
#oBikeTW #共享單車
#騎單車靠邊編 #下班","2017-06-21T09:30:00+0000","photo","https://www.facebook.com/oBikeTW/photos/a.1425276647545563.1073741828.1382921215114440/1527164150690145/?type=3","1382921215114440_1527164150690145",NA,32,19,3
"178","1382921215114440","oBike Taiwan","邊編提醒您！要記得吃午餐唷！
中午就騎著oBike去買飯吧～
　
#oBikeTW #共享單車
#騎單車靠邊編 #午休","2017-06-21T04:23:22+0000","link","https://media.giphy.com/media/l0O9yqyFbuxZoBifu/giphy.gif","1382921215114440_1527072950699265",NA,22,10,0
"179","1382921215114440","oBike Taiwan","在路邊發現一枚oBike可愛女騎士正在休息
此時你會...
　
A. 上前詢問如何使用oBike，然後...
B. 上前約騎oBike，接著...
C. 快步離開。
　
#oBikeTW #共享單車
#騎單車靠邊編 #電玩廣告圖梗
#邊編肯定會上前求關注粉絲團","2017-06-21T02:53:30+0000","photo","https://www.facebook.com/oBikeTW/photos/a.1425276647545563.1073741828.1382921215114440/1527002544039639/?type=3","1382921215114440_1527002544039639",NA,69,17,1
"180","1382921215114440","oBike Taiwan","高雄的車陸續都放中喲！
還請各位騎士們給我們的工作人員多一些耐心！
相信很快的大家就可以騎乘囉！
　
#oBikeTW #共享單車
#騎單車靠邊編 #高雄","2017-06-20T08:30:55+0000","photo","https://www.facebook.com/oBikeTW/photos/a.1425276647545563.1073741828.1382921215114440/1526012027472024/?type=3","1382921215114440_1526012027472024",NA,105,51,11
"181","1382921215114440","oBike Taiwan","難得今天微放晴，無雨天氣陰。
春風吹拂，最適合騎車車惹～～～
　
高雄的朋友別著急，我們的投放團隊正陸續投車中！
晚些大家就會看到車子了唷！
　
#oBikeTW #共享單車
#騎單車靠邊編","2017-06-20T02:57:48+0000","link","https://media.giphy.com/media/3o84Ufy4oR2l0nSdEs/giphy.gif","1382921215114440_1525743894165504",NA,60,14,5
"182","1382921215114440","oBike Taiwan","#oBike好康報
你知道今天星巴克買一送一嗎？邊編報給你知！
2017/06/19 15:00 ~ 20:00 全台免費騎。
快揪好友一起騎去買吧！卡緊去！
　
#oBikeTW #共享單車 
#Starbucks #星巴克 #買一送一
#騎單車靠邊編","2017-06-19T06:58:03+0000","photo","https://www.facebook.com/oBikeTW/photos/a.1425276647545563.1073741828.1382921215114440/1524710870935473/?type=3","1382921215114440_1524710870935473",NA,697,18,24
"183","1382921215114440","oBike Taiwan","高雄的朋友！！！我們來啦！！！！
阮相揪鬥陣騎鐵馬遊港都～～～ <3
　
免費時間：2017/06/20起至2017/07/09止
　
#oBikeTW #共享單車
#騎單車靠邊編","2017-06-19T05:38:59+0000","photo","https://www.facebook.com/oBikeTW/photos/a.1425276647545563.1073741828.1382921215114440/1524674297605797/?type=3","1382921215114440_1524674297605797",NA,159,42,62
"184","1382921215114440","oBike Taiwan","這雨.......何時才會停......
邊編真的好想好想騎車啊~~~~
　
話說禮拜一有個小祕密要告訴大家，請大家期待一下XD
　
#oBikeTW #共享單車 #梅雨季
#騎單車靠邊編","2017-06-18T03:30:00+0000","link","https://media.giphy.com/media/l0HlPtBCscbYiLfR6/giphy.gif","1382921215114440_1522743724465521",NA,16,6,0
"185","1382921215114440","oBike Taiwan","就在剛剛，粉絲團人數突破5,000啦！！！！！
感謝各位粉絲們的支持，邊編愛你們！
　
未來的日子，還請大家多多指教~~~~
　
#oBikeTW #共享單車
#騎單車靠邊編","2017-06-17T13:04:08+0000","photo","https://www.facebook.com/oBikeTW/photos/a.1425276647545563.1073741828.1382921215114440/1522744091132151/?type=3","1382921215114440_1522744091132151",NA,40,3,0
"186","1382921215114440","oBike Taiwan","#TGIF #禮拜五 #迎向美麗的週末
　
下班！！！
　
#oBikeTW #共享單車
#騎單車靠邊編","2017-06-16T09:30:00+0000","link","https://media.giphy.com/media/tFIK20oTlyLZu/giphy.gif","1382921215114440_1521240367949190",NA,10,0,0
"187","1382921215114440","oBike Taiwan","#溫馨提醒 #上鎖後請等等
　
各位騎士請注意唷！手動上鎖即完成騎行，但也別忘了開啟藍牙功能，並稍待車體數據回傳至您的APP才完成本次的騎行唷！
「別忘了要開藍牙」
「別忘了要開藍牙」
「別忘了要開藍牙」
　
#oBikeTW #共享單車
#騎單車靠邊編","2017-06-16T05:03:13+0000","photo","https://www.facebook.com/oBikeTW/photos/a.1425276647545563.1073741828.1382921215114440/1521215661284994/?type=3","1382921215114440_1521215661284994",NA,51,14,1
